source_language,target_language,source_text,target_text
twi,chinese,Meredwane akɔ sukuu.,我正在跑去学校。
twi,chinese,Di asa,舞蹈
twi,chinese,sa,舞蹈
twi,chinese,Sukuufoɔ kɔ sukuu firi Dwoada kɔsi Fiada,学校的孩子们从周一到周五上学
twi,chinese,Sukuu nkwadaa kɔ sukuu firi Dwoada kɔsi Fiada,学校的孩子们从周一到周五上学
twi,chinese,hwan nono?,是谁？
twi,chinese,hwan nono?,那是谁？
twi,chinese,woyɛ hwan?,你是谁？
twi,chinese,ɛkwan no tene,路是直的吗？
twi,chinese,"Mepa wo kyɛw, boa yɛn na yɛnyɛ yɛn adwuma.",请帮助我们做好我们的工作。
twi,chinese,Yesu yɛ kɛse,耶稣是伟大的。
twi,chinese,Wo ho yɛ fɛ,你很美丽
twi,chinese,Woada anaa?,你睡着了吗？
twi,chinese,Mɛtumi asoma wo?,我可以发给你吗？
twi,chinese,Meyɛ adwuma wɔ ha,我在这里工作
twi,chinese,Me ho yɛ,我很好
twi,chinese,Bra Yesu nkyɛn,来信耶稣吧
twi,chinese,Me din de.......,我的名字是.....
twi,chinese,Adɛn nti na worehwɛ me saa?,你为什么这样看着我？
twi,chinese,m'ani abre,我是认真的
twi,chinese,kuropɔn yi mu nipa dɔɔso,这个城市有很多人
twi,chinese,nipa bebree wɔ kuro yi mu,这个城市有很多人
twi,chinese,Yɛnkɔ dwam nkɔ tɔ atosodeɛ,我们去市场买点蔬菜吧
twi,chinese,Hwie nsuo no gu bokiti no mu,将水倒入桶中
twi,chinese,Barima kɔte,男人的阴茎
twi,chinese,Gyae saa agorɔ no di.,停止玩游戏。
twi,chinese,Onyame boa wɔn a wɔboa wɔn ho,上帝帮助自助者
twi,chinese,Fa saa twerɛdua no kɔ ma wo papa,把那支笔交给你父亲
twi,chinese,Aboa a ɔnni dua Onyame na ɔpra ne ho,上帝让风温和了被剪毛的羔羊
twi,chinese,Wonnim no,你不认识他
twi,chinese,M'ani agye,我很高兴
twi,chinese,Menni sika,我没有钱
twi,chinese,Awurade na ɔmaa yei baeɛ,这是主所做的
twi,chinese,Mɛda,我要睡觉了
twi,chinese,fa me ka ho,算我一个
twi,chinese,wo dwene sɛ wo yɛ hwan?,你以为你是谁？
twi,chinese,Merekɔ asɔre,我要去教堂
twi,chinese,Nyame nhyira wo,上帝保佑你
twi,chinese,ɔdɔ yɛ wu,你的爱是值得为之而死的
twi,chinese,Sɛ ɛnyɛ Nyame a,如果不是上帝
twi,chinese,Medɔ wiase,我一生的挚爱
twi,chinese,Medɔ me nkwa,我爱我的生活
twi,chinese,Onyame nhyira wo,上帝保佑你
twi,chinese,Mete Mampong,我住在马蓬
twi,chinese,Mabɔ mpae mprɛnsa dada.,我已经祈祷了三遍了。
twi,chinese,Afu me mu!,真是一个惊喜！
twi,chinese,Afu me mu!,我很惊讶
twi,chinese,Merekɔ adwuma,我要去工作
twi,chinese,Nom nsuo.,喝水。
twi,chinese,Akwadaa no ada,孩子睡着了
twi,chinese,Nokware no nie,这是事实
twi,chinese,Woadi mfeɛ sen?,你今年多大？
twi,chinese,Kwasea,傻子
twi,chinese,Ɛte sɛn?,你好吗？
twi,chinese,medaase,谢谢
twi,chinese,mepa wo kyɛw memmrɛ wo nsuo?,请问我可以给你一些水吗？
twi,chinese,"ɛha deɛ bɔkɔɔ, wona wonam",您此行的目的是什么？
twi,chinese,wo nsrahwɛ no mu botae ne sɛn?,您此行的目的是什么？
twi,chinese,ma menkyerɛ wo baabi a wobɛda,让我带你去你的房间
twi,chinese,ababaawa,年轻女子
twi,chinese,Woadi mfie sɛn?,你的年龄是多少？
twi,chinese,Wo mfie yɛ sɛn?,你的年龄是多少？
twi,chinese,Woadi mfie sɛn?,你今年多大？
twi,chinese,maaha,下午好
twi,chinese,yɛfrɛ wo sɛn?,你叫什么名字？
twi,chinese,na wo nso ɛ?,你呢？
twi,chinese,wote he?,你住在哪里？
twi,chinese,da bɛn na wobɛ san akɔ?,你什么时候回去？
twi,chinese,ma yɛnkɔ kurom,我们去城里吧
twi,chinese,ma yɛnkɔ fa taxi,我们去搭出租车吧
twi,chinese,mabrɛ,我累了
twi,chinese,maboro nsa,我醉了
twi,chinese,ɔpɛ berɛ,旱季
twi,chinese,ɔhyew wɔ mu,天气暖和
twi,chinese,metumi atɔ anaa?,我可以买吗？
twi,chinese,"ɛda so wɔ soro, ne korakora ne sɛn",还是太高了，你最后的价格是多少
twi,chinese,san bra da foforo,下次再来
twi,chinese,Twɛn me!,等我！
twi,chinese,M'ani kum,我想睡觉
twi,chinese,Ahum no pepaa daha dan bebree so,大风摧毁了许多茅草屋
twi,chinese,Nya awerɛhyɛmu wɔ me mu,你可以向我倾诉
twi,chinese,ka kyerɛ me,你可以透露给我。
twi,chinese,Asuo no so?,河宽吗？
twi,chinese,Fa ma Nyame,把它交给上帝
twi,chinese,ɔkra no aguan kɔ,猫跑掉了
twi,chinese,Suro nea ɔbɛn wo,对你身边的人保持警惕
twi,chinese,Bra ma yɛnni agorɔ,来我们玩吧
twi,chinese,Me ho yɛ,我很好
twi,chinese,Wowɔ he?,你在哪里？
twi,chinese,wowɔ hefa?,你在哪里？
twi,chinese,Bɔne,罪
twi,chinese,Me yɛ Gaanani.,我是加纳人。
twi,chinese,Saa?,是这样吗？
twi,chinese,m'ani abre,我很狂野
twi,chinese,Ade akye abia,这是新的一天
twi,chinese,Sradeɛ bebree nyɛ ma nipadua no,脂肪过多对身体不好
twi,chinese,Dabɛn na wobɛba abɛsra yɛn?,你什么时候来拜访我们？
twi,chinese,Me dɔ!,亲爱的
twi,chinese,Me de bosome miensa bɛsi me dan no.,我将在三个月内盖好我的房子。
twi,chinese,Tikorɔ nkɔ agyina,两个头比一个头好
twi,chinese,Ti mmienu yɛ sene baako,两个头比一个头好
twi,chinese,Hwɛ ansa na woahuri,三思而后行
twi,chinese,Nnepa firi soro,美好的事物来自上面
twi,chinese,Ti korɔ nkɔ agyina,两个头比一个头好
twi,chinese,Mente aseɛ,我很困惑。
twi,chinese,Mente aseɛ,我不明白
twi,chinese,Me pɛ w'asem,我喜欢你
twi,chinese,Ɛyɛ sɛn?,多少钱？
twi,chinese,Ne boɔ yɛ sɛn?,多少钱？
twi,chinese,Ne boɔ yɛ sɛn?,价格是多少？
twi,chinese,Nti monkenkanee atwerɛ yi pɛn?,你没有读过这段经文吗？
twi,chinese,Metumi anya nsuo,我可以喝点水吗
twi,chinese,Menya nsuo,我可以喝点水吗
twi,chinese,mempɛ asɛm,我不想惹任何麻烦
twi,chinese,wohu me sɛn?,你把我当什么了？
twi,chinese,wohu me sɛn?,你怎么看我？
twi,chinese,Frɛ no ma me,帮我打电话给她
twi,chinese,Frɛ no ma me,帮我打电话给他
twi,chinese,kafra,对不起
twi,chinese,Mefiri Ghana,我来自加纳
twi,chinese,Me ne wiase kanea no,我是世界之光
twi,chinese,Ama resa,阿妈在跳舞
twi,chinese,Meyɛ osuani,我是一名学生
twi,chinese,Abɔfra yi nim adeɛ.,这个孩子很聪明。
twi,chinese,Me din de Kwame,我的名字是夸梅
twi,chinese,Di w’aduane no.,吃你的食物。
twi,chinese,Madi mfie mmienu,我两岁了
twi,chinese,Ntorɔ,说谎
twi,chinese,Asɔre dan no wɔ hefa?,教堂建筑在哪里？
twi,chinese,Mind,阿德温
twi,chinese,Akwaaba,欢迎
twi,chinese,"aane, medaase",是的，谢谢
twi,chinese,amaneɛ,这是怎么回事
twi,chinese,ma yenkɔ pɛ biribi nnom,我们出去喝一杯吧
twi,chinese,akyire yi,稍后见
twi,chinese,Abɔ sɛn?,现在是什么时间
twi,chinese,maadwo,晚上好
twi,chinese,yɛfrɛ me kwasi,我的名字是夸西
twi,chinese,wobɛyɛɛ dɛn wɔ Ghana?,你为什么在加纳？
twi,chinese,mete Bolga,我住在博尔加
twi,chinese,mɛkɔ ɔkyena,我明天就离开
twi,chinese,mayɛn mpue,我们出去吧
twi,chinese,anka mepɛ sɛ mefa trɔtrɔ,我更喜欢公共汽车
twi,chinese,medɔ wo,我爱你
twi,chinese,ɔpɛ berɛ,哈马坦季节
twi,chinese,awɔ wom,天气很冷
twi,chinese,"ɛyɛ, wo deɛ mame 6 cedis",好吧，你给我 6 塞地
twi,chinese,san bra biom ma yenni dwa,回来做另一件事
twi,chinese,M'ani agye,我很高兴
twi,chinese,"hwan na ɔyɛɛ wei, anaa ɔyɛɛ saa?",谁做了这个或那个？
twi,chinese,Emu dɔ?,很深吗？
twi,chinese,Moreyɛ adwuma pa,你做得很好。
twi,chinese,Mahwehwɛ akyɛ,我已经寻找太久了
twi,chinese,Twi kasa wɔ nsemfua pii,契维语有很多单词
twi,chinese,Yɛ wei ma me,为我做这个
twi,chinese,Ɛkɔm de wo?,你饿了吗？
twi,chinese,Mema wo akye,早上好
twi,chinese,Aduane,食物
twi,chinese,Ghana ahenkuro yɛ Nkran.,加纳的首都是阿克拉。
twi,chinese,Ɛte sen?,你好吗？
twi,chinese,Mawie sukuu pɔn,我大学毕业了
twi,chinese,Kɔm de me,我饿了
twi,chinese,Yaw Danso yɛ sisifoɔ,yaw obeng 是个骗子。
twi,chinese,Sukuu kɔ hia ma nkɔdaa adesua.,为了儿童的教育，学校教育是必要的。
twi,chinese,Deɛ ɔda fam no nsuro ahweaseɛ,跌倒的人不怕跌倒
twi,chinese,Ahwene pa nkasa,空桶发出的声音最大
twi,chinese,Sɛdeɛ onipa dwene no saa ara na ɔteɛ,正如一个人所想的那样
twi,chinese,Ɛsɛsɛ yɛbɔ yɛn din ho ban,我们有一个名字需要保护
twi,chinese,Edwuma bɛn na wo yɛ?,你做什么工作？
twi,chinese,Na John bua see wɔn sɛ,约翰对他们说
twi,chinese,M'ani awu,我很羞愧
twi,chinese,Ɛkwan ne w'anim,随意并继续
twi,chinese,wommu adeɛ,你不尊重
twi,chinese,Yɛbɛ tumi akasa anaa?,我们可以谈谈吗？
twi,chinese,mesu ma wo,我对你表示同情
twi,chinese,Woadidi?,你吃过了吗？
twi,chinese,Abofra yi nim nyansa.,这个孩子很聪明。
twi,chinese,Wɔwoo me Memeneda,我是星期六出生的
twi,chinese,Sɔ kanea no.,打开灯。
twi,chinese,Wo te he?,你住在哪里？
twi,chinese,Kwan nni ha,没有办法
twi,chinese,Ma yenni agorɔ,我们来玩个游戏吧
twi,chinese,Adwuma,工作
twi,chinese,Aane,是的
twi,chinese,"me ho yɛ, medaase",我很好谢谢
twi,chinese,"daabi, medaase",不，谢谢
twi,chinese,mebɛsraa mo,我只是来参观
twi,chinese,mehwɛ a wabrɛ,你一定累了
twi,chinese,Frɛ wo papa ma me,叫我你爸爸。
twi,chinese,da yie,晚安
twi,chinese,wofri he?,你从哪来？
twi,chinese,mebɛyɛɛ adwuma,我是来出差的
twi,chinese,woyɛ adwuma wɔ he?,你在哪里工作？
twi,chinese,ma yɛnkɔ didi,我们去吃饭吧
twi,chinese,yɛrekɔ he?,我们要去哪里？
twi,chinese,merehwehwɛ wo,我在找你
twi,chinese,sukɔm de me,我渴了
twi,chinese,m'ani agyina wo,我想你
twi,chinese,ɛbɔ,阴天
twi,chinese,ade akye,早上时间
twi,chinese,ma me 10 cedis,给我 10 塞地
twi,chinese,"mɛfa no saa ara, medaase",我会接受的，谢谢
twi,chinese,"woaboa me pa ara, medaase",你真的帮助了我，谢谢你
twi,chinese,Nante yie o!,再见
twi,chinese,Menni ho nimdeɛ biara.,我不知道
twi,chinese,ɛtwene da so?,上面有一座桥吗？
twi,chinese,Mennim ho akwankyerɛ biara.,我不知道
twi,chinese,"Me nte twi papa, me twerɛɛ fante.",我不熟悉twi，所以写了fante。
twi,chinese,Wiase ayɛ hu,世界正在变得可怕。
twi,chinese,Awurade ne me guanhwɛfoɔ,主是我的牧人
twi,chinese,Tena ase,坐下
twi,chinese,Mekɔndɔ ɛmo,我想吃米饭
twi,chinese,Nwomasua yɛ,教育是好的
twi,chinese,Nnwom,音乐
twi,chinese,Nyame ne hene.,上帝为王。
twi,chinese,ɛyɛ,我很好
twi,chinese,Mɛka dabre yi ho asem akyerɛ me nnamfo,我会告诉我的朋友这个平台
twi,chinese,Ɛtesen,你好吗？
twi,chinese,Frɛ wo papa ma me na adeɛ resa,帮我给你爸爸打电话，因为已经很晚了
twi,chinese,Ɛdeɛn nnoɔma na wo de retu kwan no?,您旅行时携带哪些物品？
twi,chinese,Mmerɛ nyinaa nsɛ,所有的日子都不一样
twi,chinese,Ɔkyena yɛ da foforɔ,明天又是新的一天
twi,chinese,Mehu wo seesei ara,我很快就会见到你
twi,chinese,Wo firi ɛhe fa?,你从哪里来的？
twi,chinese,W'ani gye me ho anaa?,你喜欢我吗？
twi,chinese,Na wɔ somaa asukuufoɔ no,他们派学生
twi,chinese,Me nsa aka,我已经收到了
twi,chinese,obiara nyɛ obiara,没有人高于任何人
twi,chinese,wanim sɛ odwan,你有一张山羊脸
twi,chinese,Me ho yɛ pa ara,我做得很好
twi,chinese,ɔdɔ a mewɔ ma wo no nni awieyɛ,我对你的爱永远不会消失
twi,chinese,M’ani kum,我感觉困了
twi,chinese,Sɔre,起床
twi,chinese,Kofi yɛ mmaasɛm.,科菲是一个好色之徒。
twi,chinese,Me papa yɛ oguadini,我父亲是一名商人
twi,chinese,Kwame yɛ din a yɛde frɛ mmarima a yɛwo wɔn Memeneda,kwame 是星期六出生的男性
twi,chinese,"Meda mo ase wɔ akwanya a, mo de ama me ho.",感谢您给我这个机会。
twi,chinese,ɔhene,首席
twi,chinese,Daabi,不
twi,chinese,abusuafoɔ ho te sɛn,家人怎么样
twi,chinese,ɛkwan so ɛ?,你的旅程怎么样？
twi,chinese,da yie,睡得好
twi,chinese,siesie wo ho,装扮
twi,chinese,nante yie,再见
twi,chinese,meyɛ nsrahwɛni,我是游客
twi,chinese,meyɛ adwuma wɔ aban asuayɛ,我在各部委工作
twi,chinese,ma yɛnkɔ dwaso,我们去市场吧
twi,chinese,worekɔ he?,你要去哪里？
twi,chinese,ɔkɔm de me,我饿了
twi,chinese,metan wo,我恨你
twi,chinese,nsuo retɔ,正在下雨
twi,chinese,ade asa,晚上时间
twi,chinese,"ne boɔ yɛ den, mɛma wo 5 cedis",太贵了，我可以出5塞地
twi,chinese,me nso medaase,也谢谢你
twi,chinese,sɔ air-conditioner no,打开空调
twi,chinese,Me yere,我的妻子
twi,chinese,Meyɛ Ɔsofo,我是一名牧师
twi,chinese,Sesei yɛrekɔ bea foforɔ so,我们正在前往下一个目的地
twi,chinese,Wo hann mu na yɛhunu ɛhann.,在你的光中我们看到了光。
twi,chinese,wobɛgye sɛn?,你要收费多少？
twi,chinese,yoo fa bra,好的，请带上
twi,chinese,mepɛsɛ metua,我想提供
twi,chinese,mentumi ntua saa,我付不起那么多钱
twi,chinese,yɛbɛgye me sɛn,票价是多少
twi,chinese,Mefiri Ghana,我来自加纳
twi,chinese,Ani,眼睛
twi,chinese,Bra ha seesei yi ara,现在过来
twi,chinese,Ɛhɔ,那里
twi,chinese,Kɔ,去
twi,chinese,Ɔhemaa,女王
twi,chinese,Ɔdɔ,爱
twi,chinese,Bra ha!,来这里！
twi,chinese,mmerɛ aso sɛ yedidi?,吃饭时间到了吗？
twi,chinese,Merepɛ forotɔ akɔma me yere.,我正在为我的妻子寻找一个包。
twi,chinese,Wonuabaa panin din de sɛn?,你姐姐叫什么名字？
twi,chinese,Mennim baabi a Asamoa wɔ seisei.,我不知道阿萨莫阿现在在哪里。
twi,chinese,Kwaku yɛ ɔkofo.,夸库是英雄。
twi,chinese,Mehia summii baako aka ho.,我需要一个额外的枕头。
twi,chinese,"Wowɔ kyineɛ a, metumi afɛm anaa?",你有雨伞可以借给我吗？
twi,chinese,Biribi saa rensi biom.,类似的事情不会再发生了。
twi,chinese,Merehwɛ animu sɛ menya mmuae pa afiri wo nkyɛn,我期待收到您满意的答复。
twi,chinese,Mempɛ sɛ obiara bepira.,我不想让任何人受伤。
twi,chinese,Daa ne papa mma fie ntɛm.,他父亲总是很晚回家。
twi,chinese,"Mennye nni sɛ, nsuo bɛtɔ awia yi.",我想今天下午不会下雨。
twi,chinese,Ka wo ho asɛm kakra kyerɛ me.,告诉我一些关于你自己的事。
twi,chinese,Dwoada na mehweree m'adwuma,我周一失业了。
twi,chinese,Yɛse memmɛ boa wo.,我被要求帮助你。
twi,chinese,Kuro ketewaa mu na onyinii.,他在一个小镇长大。
twi,chinese,Neboɔ yɛ den dodo.,成本太高了。
twi,chinese,Wo ware dodo,你太高了。
twi,chinese,Woyɛ tenten dodo,你太高了。
twi,chinese,ɔrebɔ mmɔden sɛ ne so bɛte,她正在努力减肥。
twi,chinese,Wɔkyerɛɛ wo da a ɛsɛsɛ wo ba?,有人告诉你什么时候来吗？
twi,chinese,Mewɔ nnawɔtwe sɛ mewie me fie adwuma.,我有一周时间做作业。
twi,chinese,Mfa w'ani nto mfidie yi nyinaa so,所有这些设备都不可靠。
twi,chinese,"Kwaku hunuu me no, n'ani annye",kwaku见到我看起来不太高兴。
twi,chinese,Wɔrepɛ akwannya bi de ayi woadi.,他们只是想找个借口解雇你。
twi,chinese,"Nokwarenie, me ne wo nyɛ adwene.",坦白说，我不同意你的观点。
twi,chinese,Kwaku didi sɛ preko.,kwaku吃起来像猪一样。
twi,chinese,ɔyɛ dehyeɛ,他是一个出身高贵的人。
twi,chinese,Wonni ho kwan sɛ wokɔ saa dan no mu.,你不被允许进入那个房间。
twi,chinese,"Kwaku kaa sɛ, w'aberɛ.",kwaku说他感觉很累。
twi,chinese,Kwaku ne Abena tɔɔ efie wɔ Boston afe a ɛtwa mu no,去年，夸库和阿贝纳在波士顿买了一套房子。
twi,chinese,Worenhyɛda nhunu kotwa a ɛda nemfono so no seisei,他脸颊上的伤疤现在几乎看不出来了。
twi,chinese,Ogyinaa ne ti so,她倒立着。
twi,chinese,Wɔreba abɛfa yɛn.,他们来找我们了。
twi,chinese,"Na mefiri sɛ, ɛyɛ mfomsoɔ sɛ mɛda asumasɛm no adi akyerɛ Kwaku.",我认为告诉夸库这个秘密是一个错误。
twi,chinese,"Dawubɔ krataa no kaa sɛ, mframa gyamfantrudu bi rebobɔba.",报纸说台风即将来临。
twi,chinese,Mepɛ sɛ mihunu Kwaku seisei yi ara.,我现在想见夸库。
twi,chinese,Kwaku bɛba ha Dwoada.,kwaku 周一会来。
twi,chinese,Wɔhyɛɛ ase fee wɔn ano.,他们开始互相亲吻。
twi,chinese,Kwaku na ɔboaa Abena.,kwaku是帮助阿贝纳的人。
twi,chinese,"Kakyerɛ no sɛ menim nipa ko a, ɔyɛ.",告诉她我知道她是谁。
twi,chinese,Woamma fie ntɛm.,你很晚才回家。
twi,chinese,Onyaa atinka prɛkopɛ sɛ ɔbɛtwerɛ nnwoma.,他突然产生了写小说的冲动。
twi,chinese,Menni ɔgyefoɔ biara.,我毫无防备。
twi,chinese,"Mepa wo kyew, ma wo nne so",请大声一点。
twi,chinese,"Na mefiri sɛ, Kwaku hia mmoa.",我认为夸库需要帮助。
twi,chinese,Me ne wo bɛkɔ,我会和你一起去。
twi,chinese,"Nnɔn du bɔe no, na nnipa ɔha ne akyire na wɔwɔ abɔnten so.",昨天上午10点，外面有数百人。
twi,chinese,Meda wo ase s woakyerɛkyerɛ nsɛm no mu.,感谢您消除误会。
twi,chinese,"Ebinom adwen ne sɛ, efie adidie yɛ kyɛn abɔntensodeɛ.",有些人认为在家吃饭比在外面吃饭对你更好。
twi,chinese,ɔtae noa aduane ma n'abusuafoɔ.,他喜欢为家人做饭。
twi,chinese,Ti ho kyerɛ me,给我一个提示。
twi,chinese,ɛnyɛ ɛhyɛn papa biara.,它不是什么车。
twi,chinese,ɔkraman no ahusuo yɛ kɔkɔɔ.,狗的项圈是红色的。
twi,chinese,Metaa tie awerɛho nnwom.,我经常听悲伤的歌曲。
twi,chinese,ɛdeɛn na merekɔka akyerɛ Kwaku?,我要告诉夸库什么？
twi,chinese,Ampa. Wo di bim.,是的。你是绝对正确的。
twi,chinese,Kwaku nnim hwee fa saa nneɛma no ho,kwaku 不知道这些事情。
twi,chinese,"Kwaku yɛɛn'adwene sɛ, ɔbɛgyae sukuu na wayɛ adwuma nko ara.",夸库决定辍学并全职工作。
twi,chinese,Mɛsoma ama woaferɛ wo ɔkyena anɔpa nɔn wɔtwe.,明天早上 8 点我会打电话给你。
twi,chinese,Sa ara na wɔrekeka.,人们就是这么说的。
twi,chinese,"Mepɛ nsuom adwareɛ, nanso mempɛ sɛ mɛdware wɔha.",我喜欢游泳，但我不喜欢在这里游泳。
twi,chinese,Hwehwɛ mu na yi baako.,从其中选择任何一项。
twi,chinese,"Deɛn nti a, ɛwɔ sɛ megye saa edi?",我为什么要相信这一点？
twi,chinese,"Yɛntumi nnye w'abisadeɛ no ntom, fa kyɛ yɛn.",很抱歉，我们无法接受您的请求。
twi,chinese,Wo dɔ me ampa ara?,你真的爱我吗？
twi,chinese,"Nha wo ho wɔ nsɛm a, ɛho nhia ho.",不要为了一些愚蠢的事情而冒着生命危险。
twi,chinese,Mmere bɛn na wo pɛ sɛ mebɛfa wo?,你想让我什么时候来接你？
twi,chinese,Sɛ wobɛpɛ ice cream a ɛwɔ chocolate bi?,你想要一些巧克力冰淇淋吗？
twi,chinese,Merenware dabiara da.,我永远不会结婚。
twi,chinese,Kwaku ne Abena nena koo wo wiase afaamu ɔsa a na ɛto so mmienu no mu,夸库的祖父和阿贝纳的祖父在第二次世界大战中并肩作战。
twi,chinese,Kwaku ntumi ny,夸库不会滑雪。
twi,chinese,ɔwɔ Japanfoɔ hyɛn.,他有一辆日本车。
twi,chinese,Meyɛɛ wei de maa wo.,我为你做了这件事。
twi,chinese,"Kwaku mpɛ sɛ, ɔde ne ho bɛfɔrefɔre mu.",夸库不想参与其中。
twi,chinese,Metee sɛ na ɔkraman bi repo wɔ akyire.,我听到远处有狗叫。
twi,chinese,"M'awofo yɛ Enyiresifo, nanso wɔbaa Brazil afe 2001",我的父母是英国人，但他们于 2001 年来到巴西。
twi,chinese,Kwaku reso daeɛ.,夸库在做梦。
twi,chinese,ɛnnɛ yɛ m'awoda a ɛtɔso dunsia.,今天是我十六岁生日。
twi,chinese,Dede no tuatua m'aso.,噪音让我心烦意乱。
twi,chinese,"Baabiara a wobɛkɔ no, ɛwɔ sɛ wobɔ wo maame amaneɛ ansa",如果你要去任何地方，你最好先告诉你妈妈。
twi,chinese,ɔde dua no nwenee Budhafoɔ mfoni.,他用木头雕刻了一座佛像。
twi,chinese,"Adesuafo bebree a wosua kasa ahorow no, so daeɛ sɛ wɔbetumi aka kasa no sɛ wɔn kurom kasa",许多外语学生梦想能像母语一样说话。
twi,chinese,"Otumi bɔ nsakuo tesɛ violin, na piano koraa deɛ yɛnka",她会拉小提琴，更不用说弹钢琴了。
twi,chinese,Mennim obiara a merekɔgye afutuo afiri ne nkyɛn.,我不知道该向谁寻求建议。
twi,chinese,Me taa tie NPR.,我喜欢听 NPR。
twi,chinese,N'asɛm no yɛɛ obi biara sere.,他的故事逗乐了每个人。
twi,chinese,Wɔnam a wɔnhyɛ mpaboa,他们不穿鞋走路。
twi,chinese,Mfoni a ɛwɔ dawurubɔ krataa no mu yɛ fɛ pa ara.,报纸上有非常好的图片。
twi,chinese,Kwaku mpɛ sɛ ɔbɛkɔ hɔ.,kwaku不想去那里。
